,title,date,url,content
112,United States Seeks Mexico's Review of Alleged Denial of Workers’ Rights at Mexican Airline,2023-08-30,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/united-states-seeks-mexicos-review-alleged-denial-workers-rights-mexican-airline,"For the eighth time in 2023, and thirteenth time overall, the United States has sought Mexico’s review under the USMCA’s Rapid Response Labor Mechanism.
WASHINGTON – United States Trade Representative Katherine Tai announced today that the United States has asked Mexico to review whether pilots at Aerotransportes Mas de Carga (Mas Air), a Mexico City-based airline that provides cargo transportation services, are being denied the right to freedom of association and collective bargaining. The request, which was made in response to a petition, marks the thirteenth time the United States has formally invoked the Rapid Response Labor Mechanism (RRM) in the United States-Mexico-Canada Agreement (USMCA), and the first time the United States has done so in the services sector.
“Workers’ ability to affiliate with the union of their choice is a key tenet of the freedom of association and collective bargaining rights the RRM is designed to protect,”
said Ambassador Katherine Tai
. “Today’s action highlights the United States is committed to safeguarding the labor rights enshrined in the USMCA across industries and sectors, including in services.  We look forward to working closely with the Government of Mexico to address the issues present in this matter.”
“This request for review is another example that compliance with the labor commitments under the United States-Mexico-Canada Agreement is a priority for the United States in all sectors the Rapid Response Labor Mechanism covers,”
explained Deputy Undersecretary for International Affairs Thea Lee
. “We expect to continue our good collaboration with the government of Mexico in addressing the fundamental issues raised in this request.”
Background
The United States Trade Representative and the Secretary of Labor co-chair the Interagency Labor Committee for Monitoring and Enforcement (ILC).  On July 31, the ILC received an RRM petition from the
Asociación Sindical de Pilotos Aviadores de México
(ASPA), a Mexican union.  The petition alleged Mas Air engaged in harassment, intimidation, and retaliation against workers because of their union affiliation.  The petition also alleges irregularities in connection with a May 9, 2023 legitimization vote.  The ILC reviews RRM petitions that it receives, and the accompanying information, within 30 days.
The ILC subsequently determined that there is sufficient, credible evidence of a denial of rights enabling the good faith invocation of enforcement mechanisms.  As a result, the United States Trade Representative has submitted a request to Mexico that Mexico review whether pilots at the Mas Air facility are being denied the right to freedom of association and collective bargaining.  Mexico has ten days to agree to conduct a review and, if it agrees, 45 days from today to complete the review.
A copy of the request for review can be found
here
.
Information about previous requests can be found
here
.
###"
113,Joint Statement of the United States-Mongolia Trade and Investment Council,2023-08-29,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/joint-statement-united-states-mongolia-trade-and-investment-council,"ULAANBAATAR – Today, the United States and Mongolia convened the seventh meeting of the U.S.-Mongolia Trade and Investment Council, established under the U.S.-Mongolia Trade and Investment Framework Agreement (TIFA), to discuss opportunities for deepening bilateral trade and investment ties between the two countries.  The meeting was co-chaired by Terry McCartin, Assistant U.S. Trade Representative, and
Sainbuyan Amarsaikhan, Deputy Prime Minister of Mongolia.
During the meeting, the United States and Mongolia welcomed the 36
th
anniversary of diplomatic relations between the two countries.  They also referenced the
Joint Statement on the Strategic Third Neighbor Partnership between the United States of America and Mongolia
, which was issued earlier this month after Vice President Kamala Harris welcomed Prime Minister Oyun-Erdene Luvsannamsrai to Washington, D.C., as well as
the
Economic Cooperation Roadmap for the Strategic
Third Neighbor
Partnership between
the Government of
Mongolia and the
Government of the
United
States
of America
.
The United States and Mongolia highlighted the positive role that Trade and Investment Council discussions can play in supporting Mongolia’s efforts to foster its economic development and a prosperous market-based economy.  They also discussed a range of bilateral trade and investment issues, including transparency, good regulatory practices, the investment climate, intellectual property rights protection and enforcement, economic diversification, regional initiatives, and trade promotion.
The United States will host the next meeting of the Trade and Investment Council in Washington, D.C.
Background
The U.S.-Mongolia Trade and Investment Council was established pursuant to the TIFA signed by the United States and Mongolia in 2004.  It is the primary mechanism for trade and investment discussions between the two countries.
Total bilateral trade in goods was $175 million in 2022. U.S. goods exports to Mongolia in 2022 were $149 million, up 0.2 percent from 2021 but down 78 percent from 2012.  Imports of goods from Mongolia were $26.4 million in 2022,
a 365 percent increase from 2021. The stock of U. S. foreign direct investment (FDI) in Mongolia was $680 million as of Q1 2023, holding steady over the 2020-2023 period.
###"
114,Readout of Ambassador Katherine Tai’s Meeting with India’s Minister of Commerce and Industry Piyush Goyal,2023-08-26,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/readout-ambassador-katherine-tais-meeting-indias-minister-commerce-and-industry-piyush-goyal,"NEW DELHI – United States Trade Representative Katherine Tai today met with India’s Minister of Commerce and Industry, Piyush Goyal. Ambassador Tai began by thanking Minister Goyal for India’s extraordinary hospitality as host of the G20 Trade and Investment Ministers’ Meeting in Jaipur, India earlier this week.
The ministers noted the intensified cooperation and partnership between the United States and India over the last several years, which culminated in President Biden hosting Prime Minister Modi for a State Visit in Washington, D.C. in June 2023. During that visit, the United States and India
announced
resolutions on key trade issues, including the termination of six disputes at the World Trade Organization and India’s removal of tariffs on certain U.S. products (chickpeas, lentils, almonds, walnuts, apples, boric acid, and diagnostic reagents).
Ambassador Tai and Minister Goyal discussed the seventh outstanding WTO dispute: Measures Concerning the Importation of Certain Agricultural Products (DS430). They tasked their respective teams with continuing discussions on this dispute in order to reach a solution soon.
Ambassador Tai also raised concerns related to India’s import licensing requirements for technological equipment. She noted that there were stakeholders that needed an opportunity to review and provide input to ensure that the policy, if implemented, does not have an adverse impact on U.S. exports to India. Ambassador Tai and Minister Goyal agreed to explore this issue further and find a solution that addresses both countries' concerns.
Ambassador Tai and Minister Goyal also agreed on the importance of their partnership at the WTO, where the two countries can harness the power of globalization to make a difference in the lives of their people and people around the world.
The ministers expressed their shared commitment to deepening this bilateral relationship, including during President Biden’s visit to India next month for the G20 Heads of State and Government Summit. They also looked forward to reconvening the U.S.-India Trade Policy Forum later this year.
###"
115,Readout of Ambassador Katherine Tai’s Meeting with United Kingdom Secretary of State for Business and Trade Kemi Badenoch,2023-08-25,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/readout-ambassador-katherine-tais-meeting-united-kingdom-secretary-state-business-and-trade-kemi,"JAIPUR – United States Trade Representative Katherine Tai today met with United Kingdom Secretary of State for Business and Trade, Kemi Badenoch, on the margins of the G20 Trade and Investment Ministers’ Meeting.
Ambassador Tai and Secretary of State Badenoch reviewed the progress of the U.S.-UK Critical Minerals Agreement negotiations. Ambassador Tai offered her appreciation for the motivation and quick work of both teams.
Ambassador Tai and Secretary of State Badenoch also exchanged views on the discussions related to reforming the World Trade Organization so it can effectively serve all Members and people around the world. The ministers noted that the conversations in Geneva have been productive to date and pledged a shared commitment to advance this work with counterparts ahead of the 13
th
WTO Ministerial Conference in February 2024.
Finally, the ministers discussed ways to strengthen the U.S.-UK trade engagement in a way that is tailored to the unique characteristics and shared values within the bilateral relationship. They instructed their respective technical teams to continue this dialogue in order to identify clear objectives to deepen this relationship.
###"
116,"UPDATED: Ambassador Katherine Tai to Travel to Minneapolis, MN",2023-08-25,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/updated-ambassador-katherine-tai-travel-minneapolis-mn,"WASHINGTON – On August 30, 2023, United States Trade Representative Katherine Tai will travel to Minneapolis, Minnesota, to highlight the Biden-Harris Administration’s Invest in America agenda and work to expand opportunities for U.S. farmers, producers, and exporters, and help them bring their goods to customers around the world.
During her trip, Ambassador Tai will attend an AANHPI community roundtable hosted by the Minnesota Asian Pacific Caucus to discuss opportunities for collaboration and seek input on how the United States’ trade agenda can deliver inclusive economic growth to all communities. The roundtable is open press and will be held at the Minnesota State Capitol, 75 Rev Dr Martin Luther King Jr Boulevard., St Paul, MN 55155. Press interested in attending should register their interest to
media@ustr.eop.gov
.
In the afternoon, Ambassador Tai will join Senator Amy Klobuchar to visit the Minnesota State Fair. These events will be open press. Press interested in interviewing Ambassador Tai at the fair should register their interest to
media@ustr.eop.gov
.
###"
117,Readout of Ambassador Katherine Tai’s Meeting with European Commission Executive Vice President Valdis Dombrovskis,2023-08-24,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/readout-ambassador-katherine-tais-meeting-european-commission-executive-vice-president-valdis,"JAIPUR - United States Trade Representative Katherine Tai today met with European Commission Executive Vice President Valdis Dombrovskis on the margins of the G20 Trade and Investment Ministers’ Meeting.
Ambassador Tai and Executive Vice President Dombrovskis reviewed U.S.-EU negotiations toward a global arrangement on sustainable steel and aluminum and toward a U.S-EU Critical Minerals Agreement. Ambassador Tai affirmed her goal of reaching outcomes aligned with the strong commitment to U.S.-EU strategic partnership advanced by President Biden and President von der Leyen.
Ambassador Tai and Executive Vice President Dombrovskis agreed to remain in close contact and tasked their teams with an intensified pace of meetings on these initiatives.
###"
118,Readout of Ambassador Katherine Tai’s Meeting with Korea’s Minister for Trade Ahn Dukgeun,2023-08-24,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/readout-ambassador-katherine-tais-meeting-koreas-minister-trade-ahn-dukgeun,"JAIPUR – United States Trade Representative Katherine Tai today met with Korea’s Minister for Trade, Ahn Dukgeun, on the margins of the G20 Trade and Investment Ministers’ Meeting.
Ambassador Tai shared updates on the Indo-Pacific Economic Framework (IPEF) negotiations. She noted that IPEF Partners have made significant progress since the
first ministerial
in September 2022, which underscores the negotiation’s accelerated timeline. Ambassador Tai thanked Minister Ahn and his government for their help in pushing this initiative forward. Ambassador Tai noted the importance of next month’s negotiating round in Bangkok as a key opportunity to continue the momentum on IPEF.
Ambassador Tai and Minister Ahn also discussed the positive reception from their fellow G20 ministers on reforming the World Trade Organization so it can effectively work on behalf of all members and all people. Ambassador Tai expressed her confidence in these conversations moving forward, particularly ahead of the 13
th
WTO Ministerial Conference next year.
Ambassador Tai and Minister Ahn pledged to continue working together on these topics and other issues in order to strengthen and deepen the U.S.-Korean trade relationship.
###"
119,Readout of Ambassador Katherine Tai’s Meeting with France’s Minister for Foreign Trade Olivier Becht,2023-08-23,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/readout-ambassador-katherine-tais-meeting-frances-minister-foreign-trade-olivier-becht,"JAIPUR – United States Trade Representative Katherine Tai today met with France’s Minister for Foreign Trade, Olivier Becht, ahead of the G20 Trade and Investment Ministers’ Meeting.
Ambassador Tai and Minister Becht shared updates on the negotiations on a global arrangement on steel and aluminum trade and the U.S.-European Union Critical Minerals Agreement. On the global arrangement negotiations, Ambassador Tai stressed the importance of reaching a high-standard agreement that substantively addresses carbon intensity in the steel and aluminum sectors and issues related to non-market excess production. They welcomed positive momentum in the negotiations on a critical minerals agreement between the United States and EU, and agreed on the value of reaching consensus to demonstrate the strength of the transatlantic trade partnership.
Finally, the ministers discussed the World Trade Organization, the importance of reform, and the need to improve all of the organization's functions, including the dispute settlement system. Ambassador Tai noted the positive discussions underway in Geneva and reiterated the United States’ commitment to the WTO. The ministers agreed on the importance of a successful 13
th
WTO Ministerial Conference in 2024 – the first WTO reform ministerial – and agreed to stay in regular touch on the important challenges ahead.
###"
120,Readout of Ambassador Katherine Tai’s Meeting with WTO Director General Ngozi Okonjo-Iweala,2023-08-23,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/readout-ambassador-katherine-tais-meeting-wto-director-general-ngozi-okonjo-iweala,"JAIPUR – United States Trade Representative Katherine Tai today met with World Trade Organization (WTO) Director General Ngozi Okonjo-Iweala ahead of the G20 Trade and Investment Ministers’ Meeting.
Ambassador Tai underscored continued U.S. commitment to the WTO, and to leadership in reforms that ensure the WTO effectively works on behalf of all its members, and all people. Ambassador Tai emphasized that the United States is doing everything possible to support a successful 13
th
WTO Ministerial Conference in 2024. The two discussed ways that the gathering should build on the many successes of MC12 to be the WTO’s first reform ministerial.
Ambassador Tai and Director General Okonjo-Iweala agreed to remain in close coordination in the weeks and months ahead.
###"
121,United States Requests First Ever USMCA Rapid Response Labor Mechanism Panel at Grupo Mexico Mine,2023-08-22,https://ustr.gov/about-us/policy-offices/press-office/press-releases/2023/august/united-states-requests-first-ever-usmca-rapid-response-labor-mechanism-panel-grupo-mexico-mine,"WASHINGTON – United States Trade Representative Katherine Tai today announced that the United States has, for the first time ever, requested a Rapid Response Labor Mechanism (RRM) panel under the United States-Mexico-Canada Agreement (USMCA).  The panel pertains to a labor dispute at the San Martin mine in the Mexican state of Zacatecas.  The San Martin mine is a lead, zinc, and copper mine, owned and operated by the Grupo Mexico conglomerate.
Today’s announcement follows a
request
the United States sent to Mexico on June 16, 2023, asking Mexico to review whether workers at the San Martin mine were being denied the rights to freedom of association and collective bargaining.
The United States and Mexico have worked cooperatively to address labor rights violations at numerous Mexican facilities under other RRM matters, but have been unable to reach agreement in this matter.  As such, the United States has determined that it is appropriate to request a panel to verify the facility’s compliance with Mexican labor laws and determine whether a denial of rights has occurred.
“This announcement upholds the Biden-Harris Administration’s commitment to creating a more level playing field for workers to feel empowered and using every enforcement tool at our disposal to safeguard workers’ rights,”
said Ambassador Katherine Tai.
“The RRM has proved to be a critical instrument for defending the free exercise of freedom of association and collective bargaining rights.  While we are always open to collaborating with Mexico to find a resolution, our priority is delivering meaningful outcomes for workers.”
“Today’s action reflects our commitment to seek remedies for workers using all the tools the U.S.-Mexico-Canada Agreement provides,”
said
Deputy Undersecretary for International Labor Affairs Thea Lee.
“We look forward to working closely with the Mexican government to resolve this complex matter and to reinforce our shared interest in protecting workers’ rights, such as freedom of association and the right to strike.”
Background
The United States Trade Representative and the Secretary of Labor co-chair the Interagency Labor Committee for Monitoring and Enforcement (ILC).  On May 15, 2023, the ILC received an RRM petition from the American Federation of Labor and Congress of Industrial Organizations (AFL-CIO), the United Steel Workers (USW), and the
Sindicato Nacional de Trabajadores Mineros, Metalúrgicos, Siderúgicos y Similares de la República Mexicana
(Los Mineros), a Mexican union.  The petition alleged that Grupo Mexico has resumed operations at the San Martin mine despite an ongoing strike and engaged in collective bargaining with a coalition of workers despite the fact that Los Mineros holds the right to represent workers for purposes of collective bargaining.  The ILC reviews RRM petitions that it receives, and the accompanying information, within 30 days.
The ILC, in response to the petition, determined that there was sufficient, credible evidence of a denial of rights enabling the good faith invocation of enforcement mechanisms.  As a result, the United States Trade Representative submitted a request to Mexico that Mexico review whether workers at the San Martin mine facility were being denied the right to freedom of association and collective bargaining.  Mexico had ten days to agree to conduct a review and, after agreeing to do so, 45 days to complete the review.
At the conclusion of its 45-day review period, Mexico disagreed with the United States and found no denial of rights to exist.  The United States disagrees with this determination and is therefore requesting establishment of an RRM panel to review the situation.
In connection with the U.S. request, Ambassador Tai directed the Secretary of the Treasury to suspend the final settlement of customs accounts related to entries of goods from the San Martin facility.  That suspension remains in place.
A copy of the panel request can be found
here
.
###"
